Provider Number,Condition,Score
371320,Heart Attack or Chest Pain Process of Care Measures,N/A
100118,Surgical Care Improvement Project Process of Care Measures,97
400010,Heart Attack or Chest Pain Process of Care Measures,N/A
450754,Heart Attack or Chest Pain Process of Care Measures,80
531301,Heart Attack or Chest Pain Process of Care Measures,N/A
150006,Pneumonia Process of Care Measures,93
420054,Heart Failure Process of Care Measures,99
371321,Surgical Care Improvement Project Process of Care Measures,N/A
440032,Heart Attack or Chest Pain Process of Care Measures,91
310096,Surgical Care Improvement Project Process of Care Measures,87
260004,Surgical Care Improvement Project Process of Care Measures,N/A
240075,Heart Attack or Chest Pain Process of Care Measures,N/A
370218,Heart Attack or Chest Pain Process of Care Measures,N/A
140301,Pneumonia Process of Care Measures,57
450011,Heart Attack or Chest Pain Process of Care Measures,83
140179,Heart Attack or Chest Pain Process of Care Measures,100
30100,Heart Attack or Chest Pain Process of Care Measures,100
40119,Pneumonia Process of Care Measures,98
660001,Surgical Care Improvement Project Process of Care Measures,N/A
100140,Pneumonia Process of Care Measures,96
141315,Surgical Care Improvement Project Process of Care Measures,N/A
10069,Surgical Care Improvement Project Process of Care Measures,N/A
150042,Heart Attack or Chest Pain Process of Care Measures,83
100087,Heart Attack or Chest Pain Process of Care Measures,98
520189,Pneumonia Process of Care Measures,98
80004,Surgical Care Improvement Project Process of Care Measures,95
370013,Heart Attack or Chest Pain Process of Care Measures,87
330152,Heart Attack or Chest Pain Process of Care Measures,0
490127,Pneumonia Process of Care Measures,94
500044,Pneumonia Process of Care Measures,99
240038,Pneumonia Process of Care Measures,96
360074,Surgical Care Improvement Project Process of Care Measures,89
50125,Surgical Care Improvement Project Process of Care Measures,97
60024,Surgical Care Improvement Project Process of Care Measures,95
160080,Surgical Care Improvement Project Process of Care Measures,89
260141,Heart Attack or Chest Pain Process of Care Measures,97
341326,Pneumonia Process of Care Measures,98
460006,Pneumonia Process of Care Measures,100
70015,Surgical Care Improvement Project Process of Care Measures,97
50014,Surgical Care Improvement Project Process of Care Measures,98
190011,Heart Attack or Chest Pain Process of Care Measures,100
230005,Heart Attack or Chest Pain Process of Care Measures,N/A
180079,Pneumonia Process of Care Measures,96
500019,Heart Failure Process of Care Measures,94
100256,Surgical Care Improvement Project Process of Care Measures,98
161307,Heart Attack or Chest Pain Process of Care Measures,N/A
70015,Heart Attack or Chest Pain Process of Care Measures,100
170195,Pneumonia Process of Care Measures,N/A
171349,Pneumonia Process of Care Measures,100
220065,Pneumonia Process of Care Measures,88
140145,Heart Failure Process of Care Measures,98
450615,Surgical Care Improvement Project Process of Care Measures,100
450876,Heart Attack or Chest Pain Process of Care Measures,N/A
100038,Surgical Care Improvement Project Process of Care Measures,98
450219,Heart Attack or Chest Pain Process of Care Measures,N/A
511312,Heart Attack or Chest Pain Process of Care Measures,23
03033F,Pneumonia Process of Care Measures,92
281363,Heart Attack or Chest Pain Process of Care Measures,100
110124,Heart Attack or Chest Pain Process of Care Measures,86
450068,Heart Attack or Chest Pain Process of Care Measures,100
390233,Heart Failure Process of Care Measures,94
360101,Surgical Care Improvement Project Process of Care Measures,84
310025,Surgical Care Improvement Project Process of Care Measures,100
271304,Heart Failure Process of Care Measures,N/A
330027,Surgical Care Improvement Project Process of Care Measures,93
170094,Heart Attack or Chest Pain Process of Care Measures,0
370057,Heart Attack or Chest Pain Process of Care Measures,10
330241,Heart Attack or Chest Pain Process of Care Measures,99
50561,Surgical Care Improvement Project Process of Care Measures,99
42029F,Heart Attack or Chest Pain Process of Care Measures,100
50257,Heart Attack or Chest Pain Process of Care Measures,50
70004,Heart Attack or Chest Pain Process of Care Measures,100
100048,Pneumonia Process of Care Measures,99
670044,Heart Failure Process of Care Measures,83
340160,Surgical Care Improvement Project Process of Care Measures,85
360195,Heart Attack or Chest Pain Process of Care Measures,99
140012,Surgical Care Improvement Project Process of Care Measures,99
181317,Surgical Care Improvement Project Process of Care Measures,N/A
30107,Heart Attack or Chest Pain Process of Care Measures,N/A
440040,Pneumonia Process of Care Measures,92
110010,Pneumonia Process of Care Measures,86
30065,Pneumonia Process of Care Measures,97
241361,Pneumonia Process of Care Measures,100
390168,Pneumonia Process of Care Measures,100
330079,Surgical Care Improvement Project Process of Care Measures,91
520063,Pneumonia Process of Care Measures,99
440153,Pneumonia Process of Care Measures,99
281360,Heart Failure Process of Care Measures,62
450403,Children's Asthma Process of Care Measures,76
230302,Surgical Care Improvement Project Process of Care Measures,99
50580,Surgical Care Improvement Project Process of Care Measures,N/A
330140,Heart Attack or Chest Pain Process of Care Measures,98
490077,Heart Attack or Chest Pain Process of Care Measures,99
360085,Pneumonia Process of Care Measures,100
180095,Surgical Care Improvement Project Process of Care Measures,25
450351,Heart Attack or Chest Pain Process of Care Measures,N/A
251303,Pneumonia Process of Care Measures,60
440006,Pneumonia Process of Care Measures,98
50767,Heart Failure Process of Care Measures,N/A
341315,Heart Failure Process of Care Measures,75
310112,Heart Attack or Chest Pain Process of Care Measures,83
231327,Heart Attack or Chest Pain Process of Care Measures,N/A
210019,Heart Attack or Chest Pain Process of Care Measures,99
171377,Heart Attack or Chest Pain Process of Care Measures,N/A
390278,Heart Attack or Chest Pain Process of Care Measures,N/A
50334,Heart Attack or Chest Pain Process of Care Measures,N/A
390006,Pneumonia Process of Care Measures,88
490069,Heart Attack or Chest Pain Process of Care Measures,4
230053,Heart Attack or Chest Pain Process of Care Measures,98
420010,Heart Failure Process of Care Measures,100
171351,Heart Failure Process of Care Measures,67
261305,Heart Failure Process of Care Measures,50
451331,Heart Failure Process of Care Measures,33
60023,Surgical Care Improvement Project Process of Care Measures,94
240061,Surgical Care Improvement Project Process of Care Measures,99
181306,Surgical Care Improvement Project Process of Care Measures,N/A
450104,Surgical Care Improvement Project Process of Care Measures,64
341307,Heart Attack or Chest Pain Process of Care Measures,N/A
360230,Heart Attack or Chest Pain Process of Care Measures,100
171321,Heart Attack or Chest Pain Process of Care Measures,100
461300,Heart Attack or Chest Pain Process of Care Measures,0
450324,Heart Attack or Chest Pain Process of Care Measures,9
150011,Heart Attack or Chest Pain Process of Care Measures,90
130028,Pneumonia Process of Care Measures,98
330241,Heart Failure Process of Care Measures,96
330250,Surgical Care Improvement Project Process of Care Measures,92
170186,Surgical Care Improvement Project Process of Care Measures,100
181312,Surgical Care Improvement Project Process of Care Measures,N/A
100191,Surgical Care Improvement Project Process of Care Measures,100
17006F,Heart Attack or Chest Pain Process of Care Measures,100
260216,Heart Attack or Chest Pain Process of Care Measures,N/A
170010,Surgical Care Improvement Project Process of Care Measures,89
41307,Surgical Care Improvement Project Process of Care Measures,N/A
70029,Surgical Care Improvement Project Process of Care Measures,100
330223,Surgical Care Improvement Project Process of Care Measures,100
390042,Surgical Care Improvement Project Process of Care Measures,94
370170,Heart Attack or Chest Pain Process of Care Measures,N/A
10092,Heart Attack or Chest Pain Process of Care Measures,99
110225,Pneumonia Process of Care Measures,98
520198,Pneumonia Process of Care Measures,100
420089,Surgical Care Improvement Project Process of Care Measures,99
151303,Surgical Care Improvement Project Process of Care Measures,N/A
29002F,Heart Attack or Chest Pain Process of Care Measures,N/A
310081,Surgical Care Improvement Project Process of Care Measures,98
440025,Heart Attack or Chest Pain Process of Care Measures,50
310076,Heart Attack or Chest Pain Process of Care Measures,9
350064,Heart Attack or Chest Pain Process of Care Measures,N/A
50351,Heart Attack or Chest Pain Process of Care Measures,86
111325,Heart Attack or Chest Pain Process of Care Measures,N/A
50704,Heart Attack or Chest Pain Process of Care Measures,40
400121,Heart Failure Process of Care Measures,N/A
251308,Surgical Care Improvement Project Process of Care Measures,N/A
50011F,Surgical Care Improvement Project Process of Care Measures,N/A
50327,Surgical Care Improvement Project Process of Care Measures,90
351312,Heart Attack or Chest Pain Process of Care Measures,N/A
280131,Heart Attack or Chest Pain Process of Care Measures,N/A
330204,Heart Attack or Chest Pain Process of Care Measures,96
06007F,Pneumonia Process of Care Measures,100
280127,Heart Attack or Chest Pain Process of Care Measures,N/A
440144,Surgical Care Improvement Project Process of Care Measures,99
100130,Heart Attack or Chest Pain Process of Care Measures,132
100140,Surgical Care Improvement Project Process of Care Measures,84
321306,Surgical Care Improvement Project Process of Care Measures,88
10015,Surgical Care Improvement Project Process of Care Measures,N/A
330096,Heart Attack or Chest Pain Process of Care Measures,N/A
140162,Heart Attack or Chest Pain Process of Care Measures,99
360348,Pneumonia Process of Care Measures,100
10125,Surgical Care Improvement Project Process of Care Measures,100
320063,Heart Failure Process of Care Measures,94
460005,Surgical Care Improvement Project Process of Care Measures,99
231326,Heart Attack or Chest Pain Process of Care Measures,100
36008F,Pneumonia Process of Care Measures,94
300011,Surgical Care Improvement Project Process of Care Measures,83
61316,Surgical Care Improvement Project Process of Care Measures,N/A
190128,Pneumonia Process of Care Measures,N/A
340013,Heart Failure Process of Care Measures,100
390001,Surgical Care Improvement Project Process of Care Measures,97
30102,Heart Failure Process of Care Measures,88
50411,Heart Failure Process of Care Measures,100
230100,Surgical Care Improvement Project Process of Care Measures,94
360161,Heart Attack or Chest Pain Process of Care Measures,100
330395,Heart Failure Process of Care Measures,100
151330,Pneumonia Process of Care Measures,92
381313,Heart Attack or Chest Pain Process of Care Measures,100
380060,Heart Attack or Chest Pain Process of Care Measures,110
241322,Heart Attack or Chest Pain Process of Care Measures,N/A
34012F,Pneumonia Process of Care Measures,97
50327,Heart Attack or Chest Pain Process of Care Measures,98
40036,Pneumonia Process of Care Measures,95
410007,Heart Failure Process of Care Measures,94
281348,Heart Attack or Chest Pain Process of Care Measures,N/A
430084,Surgical Care Improvement Project Process of Care Measures,N/A
30083,Heart Attack or Chest Pain Process of Care Measures,99
151326,Heart Attack or Chest Pain Process of Care Measures,46
50570,Pneumonia Process of Care Measures,99
161318,Pneumonia Process of Care Measures,88
521324,Surgical Care Improvement Project Process of Care Measures,100
140281,Surgical Care Improvement Project Process of Care Measures,97
440047,Heart Attack or Chest Pain Process of Care Measures,N/A
140064,Pneumonia Process of Care Measures,91
30123,Pneumonia Process of Care Measures,100
330102,Surgical Care Improvement Project Process of Care Measures,91
50014,Pneumonia Process of Care Measures,92
30108,Pneumonia Process of Care Measures,N/A
420055,Surgical Care Improvement Project Process of Care Measures,90
520107,Heart Attack or Chest Pain Process of Care Measures,80
50095,Heart Attack or Chest Pain Process of Care Measures,N/A
50763,Pneumonia Process of Care Measures,0
400117,Pneumonia Process of Care Measures,31
110150,Heart Attack or Chest Pain Process of Care Measures,N/A
400098,Pneumonia Process of Care Measures,N/A
150034,Heart Attack or Chest Pain Process of Care Measures,N/A
330197,Heart Failure Process of Care Measures,97
241336,Heart Failure Process of Care Measures,N/A
220052,Surgical Care Improvement Project Process of Care Measures,N/A
230180,Surgical Care Improvement Project Process of Care Measures,83
50608,Heart Attack or Chest Pain Process of Care Measures,8
50684,Heart Attack or Chest Pain Process of Care Measures,100
50393,Heart Attack or Chest Pain Process of Care Measures,96
230081,Surgical Care Improvement Project Process of Care Measures,100
451305,Surgical Care Improvement Project Process of Care Measures,N/A
220035,Heart Attack or Chest Pain Process of Care Measures,N/A
180036,Heart Attack or Chest Pain Process of Care Measures,100
50438,Heart Attack or Chest Pain Process of Care Measures,100
260138,Pneumonia Process of Care Measures,100
460044,Heart Failure Process of Care Measures,93
330214,Heart Failure Process of Care Measures,100
520004,Heart Attack or Chest Pain Process of Care Measures,83
50017,Surgical Care Improvement Project Process of Care Measures,99
100285,Surgical Care Improvement Project Process of Care Measures,N/A
360010,Surgical Care Improvement Project Process of Care Measures,100
320013,Heart Attack or Chest Pain Process of Care Measures,31
110129,Heart Attack or Chest Pain Process of Care Measures,99
271341,Heart Failure Process of Care Measures,100
240001,Pneumonia Process of Care Measures,93
530033,Surgical Care Improvement Project Process of Care Measures,100
390226,Heart Attack or Chest Pain Process of Care Measures,100
210004,Pneumonia Process of Care Measures,94
321300,Heart Failure Process of Care Measures,36
340127,Pneumonia Process of Care Measures,95
161336,Surgical Care Improvement Project Process of Care Measures,N/A
190202,Surgical Care Improvement Project Process of Care Measures,96
260178,Heart Attack or Chest Pain Process of Care Measures,45
171357,Pneumonia Process of Care Measures,75
500052,Heart Failure Process of Care Measures,N/A
450844,Heart Attack or Chest Pain Process of Care Measures,100
510055,Surgical Care Improvement Project Process of Care Measures,93
230024,Pneumonia Process of Care Measures,94
40147,Heart Failure Process of Care Measures,N/A
390114,Heart Attack or Chest Pain Process of Care Measures,N/A
450668,Heart Attack or Chest Pain Process of Care Measures,69
50335,Heart Attack or Chest Pain Process of Care Measures,95
371310,Pneumonia Process of Care Measures,100
290032,Pneumonia Process of Care Measures,77
450780,Heart Attack or Chest Pain Process of Care Measures,N/A
450558,Heart Attack or Chest Pain Process of Care Measures,97
260176,Pneumonia Process of Care Measures,100
400087,Heart Failure Process of Care Measures,93
340020,Heart Attack or Chest Pain Process of Care Measures,100
340126,Heart Attack or Chest Pain Process of Care Measures,94
360351,Heart Attack or Chest Pain Process of Care Measures,N/A
450639,Pneumonia Process of Care Measures,97
40084,Pneumonia Process of Care Measures,97
140033,Heart Failure Process of Care Measures,N/A
110041,Pneumonia Process of Care Measures,96
310110,Heart Failure Process of Care Measures,94
330065,Surgical Care Improvement Project Process of Care Measures,100
360121,Heart Attack or Chest Pain Process of Care Measures,N/A
181316,Surgical Care Improvement Project Process of Care Measures,N/A
521325,Surgical Care Improvement Project Process of Care Measures,N/A
241340,Heart Attack or Chest Pain Process of Care Measures,N/A
370049,Surgical Care Improvement Project Process of Care Measures,97
220008,Heart Attack or Chest Pain Process of Care Measures,100
340038,Surgical Care Improvement Project Process of Care Measures,N/A
330189,Surgical Care Improvement Project Process of Care Measures,100
120028,Surgical Care Improvement Project Process of Care Measures,100
21305,Surgical Care Improvement Project Process of Care Measures,N/A
281341,Pneumonia Process of Care Measures,91
330132,Heart Attack or Chest Pain Process of Care Measures,94
171300,Pneumonia Process of Care Measures,100
50291,Heart Attack or Chest Pain Process of Care Measures,80
450658,Pneumonia Process of Care Measures,84
450775,Pneumonia Process of Care Measures,99
30064,Pneumonia Process of Care Measures,91
140276,Heart Attack or Chest Pain Process of Care Measures,N/A
450770,Pneumonia Process of Care Measures,N/A
451309,Pneumonia Process of Care Measures,N/A
100073,Heart Attack or Chest Pain Process of Care Measures,100
361330,Pneumonia Process of Care Measures,56
410011,Heart Attack or Chest Pain Process of Care Measures,100
330263,Heart Attack or Chest Pain Process of Care Measures,N/A
301305,Pneumonia Process of Care Measures,100
281300,Heart Failure Process of Care Measures,N/A
140118,Heart Attack or Chest Pain Process of Care Measures,N/A
241368,Pneumonia Process of Care Measures,83
271304,Pneumonia Process of Care Measures,N/A
61307,Pneumonia Process of Care Measures,N/A
260113,Surgical Care Improvement Project Process of Care Measures,83
450709,Heart Attack or Chest Pain Process of Care Measures,N/A
150026,Heart Attack or Chest Pain Process of Care Measures,100
330194,Heart Attack or Chest Pain Process of Care Measures,N/A
310051,Surgical Care Improvement Project Process of Care Measures,96
230190,Heart Attack or Chest Pain Process of Care Measures,N/A
670054,Heart Failure Process of Care Measures,N/A
60030,Surgical Care Improvement Project Process of Care Measures,95
390070,Heart Attack or Chest Pain Process of Care Measures,N/A
520109,Surgical Care Improvement Project Process of Care Measures,97
230269,Surgical Care Improvement Project Process of Care Measures,96
450178,Heart Attack or Chest Pain Process of Care Measures,N/A
370114,Heart Attack or Chest Pain Process of Care Measures,99
370180,Heart Failure Process of Care Measures,86
450144,Heart Failure Process of Care Measures,0
100126,Pneumonia Process of Care Measures,91
50320,Surgical Care Improvement Project Process of Care Measures,N/A
490044,Heart Attack or Chest Pain Process of Care Measures,N/A
110076,Pneumonia Process of Care Measures,91
161311,Pneumonia Process of Care Measures,100
61316,Heart Failure Process of Care Measures,100
260207,Pneumonia Process of Care Measures,86
271344,Surgical Care Improvement Project Process of Care Measures,100
370206,Surgical Care Improvement Project Process of Care Measures,N/A
361314,Surgical Care Improvement Project Process of Care Measures,100
430089,Pneumonia Process of Care Measures,N/A
100014,Surgical Care Improvement Project Process of Care Measures,96
261331,Pneumonia Process of Care Measures,96
340068,Pneumonia Process of Care Measures,96
50135,Pneumonia Process of Care Measures,60
140010,Heart Failure Process of Care Measures,95
140030,Heart Attack or Chest Pain Process of Care Measures,N/A
420082,Surgical Care Improvement Project Process of Care Measures,99
120011,Heart Attack or Chest Pain Process of Care Measures,100
500077,Heart Failure Process of Care Measures,100
46002F,Pneumonia Process of Care Measures,99
111302,Pneumonia Process of Care Measures,75
320003,Surgical Care Improvement Project Process of Care Measures,100
371318,Heart Failure Process of Care Measures,100
490043,Heart Attack or Chest Pain Process of Care Measures,90
450029,Heart Attack or Chest Pain Process of Care Measures,100
370206,Heart Attack or Chest Pain Process of Care Measures,N/A
50352,Heart Attack or Chest Pain Process of Care Measures,6
140100,Surgical Care Improvement Project Process of Care Measures,45
250025,Heart Attack or Chest Pain Process of Care Measures,100
100018,Pneumonia Process of Care Measures,92
340156,Heart Attack or Chest Pain Process of Care Measures,N/A
320021,Heart Attack or Chest Pain Process of Care Measures,46
241305,Heart Attack or Chest Pain Process of Care Measures,100
39013F,Pneumonia Process of Care Measures,98
250019,Heart Attack or Chest Pain Process of Care Measures,99
231326,Surgical Care Improvement Project Process of Care Measures,N/A
151327,Heart Attack or Chest Pain Process of Care Measures,100
50264,Heart Attack or Chest Pain Process of Care Measures,N/A
361325,Pneumonia Process of Care Measures,89
340155,Heart Failure Process of Care Measures,100
150088,Heart Attack or Chest Pain Process of Care Measures,100
241367,Heart Attack or Chest Pain Process of Care Measures,N/A
450860,Surgical Care Improvement Project Process of Care Measures,100
110135,Surgical Care Improvement Project Process of Care Measures,97
390146,Pneumonia Process of Care Measures,89
51308,Surgical Care Improvement Project Process of Care Measures,N/A
161308,Heart Attack or Chest Pain Process of Care Measures,N/A
451365,Heart Failure Process of Care Measures,100
340069,Pneumonia Process of Care Measures,93
50636,Heart Attack or Chest Pain Process of Care Measures,100
450877,Surgical Care Improvement Project Process of Care Measures,86
500150,Surgical Care Improvement Project Process of Care Measures,90
451316,Heart Attack or Chest Pain Process of Care Measures,N/A
450788,Surgical Care Improvement Project Process of Care Measures,97
330232,Surgical Care Improvement Project Process of Care Measures,97
18006F,Heart Attack or Chest Pain Process of Care Measures,96
330396,Heart Attack or Chest Pain Process of Care Measures,340
420018,Heart Attack or Chest Pain Process of Care Measures,100
241316,Heart Attack or Chest Pain Process of Care Measures,N/A
180102,Surgical Care Improvement Project Process of Care Measures,100
100086,Heart Attack or Chest Pain Process of Care Measures,98
420101,Surgical Care Improvement Project Process of Care Measures,75
520044,Surgical Care Improvement Project Process of Care Measures,80
50510,Heart Attack or Chest Pain Process of Care Measures,100
520196,Heart Attack or Chest Pain Process of Care Measures,N/A
190261,Heart Failure Process of Care Measures,N/A
181329,Heart Attack or Chest Pain Process of Care Measures,100
50113,Pneumonia Process of Care Measures,93
251305,Surgical Care Improvement Project Process of Care Measures,N/A
171325,Surgical Care Improvement Project Process of Care Measures,N/A
250017,Surgical Care Improvement Project Process of Care Measures,N/A
511310,Surgical Care Improvement Project Process of Care Measures,N/A
390270,Heart Attack or Chest Pain Process of Care Measures,99
100220,Surgical Care Improvement Project Process of Care Measures,88
440017,Surgical Care Improvement Project Process of Care Measures,100
230080,Heart Attack or Chest Pain Process of Care Measures,100
450867,Heart Attack or Chest Pain Process of Care Measures,100
10103,Pneumonia Process of Care Measures,99
451321,Heart Failure Process of Care Measures,100
100012,Heart Attack or Chest Pain Process of Care Measures,N/A
230089,Surgical Care Improvement Project Process of Care Measures,N/A
360003,Heart Attack or Chest Pain Process of Care Measures,98
431306,Surgical Care Improvement Project Process of Care Measures,N/A
440185,Surgical Care Improvement Project Process of Care Measures,87
110203,Surgical Care Improvement Project Process of Care Measures,N/A
181316,Heart Attack or Chest Pain Process of Care Measures,0
140013,Surgical Care Improvement Project Process of Care Measures,92
120019,Heart Attack or Chest Pain Process of Care Measures,N/A
100265,Heart Failure Process of Care Measures,100
360025,Heart Attack or Chest Pain Process of Care Measures,100
230244,Surgical Care Improvement Project Process of Care Measures,96
501318,Surgical Care Improvement Project Process of Care Measures,N/A
370056,Heart Attack or Chest Pain Process of Care Measures,71
371309,Surgical Care Improvement Project Process of Care Measures,N/A
281328,Heart Attack or Chest Pain Process of Care Measures,N/A
170075,Surgical Care Improvement Project Process of Care Measures,N/A
390073,Surgical Care Improvement Project Process of Care Measures,98
370025,Surgical Care Improvement Project Process of Care Measures,97
450194,Surgical Care Improvement Project Process of Care Measures,76
50057,Heart Attack or Chest Pain Process of Care Measures,100
360020,Pneumonia Process of Care Measures,100
420049,Surgical Care Improvement Project Process of Care Measures,100
150009,Surgical Care Improvement Project Process of Care Measures,94
390050,Pneumonia Process of Care Measures,98
110194,Surgical Care Improvement Project Process of Care Measures,100
330125,Surgical Care Improvement Project Process of Care Measures,100
390068,Heart Attack or Chest Pain Process of Care Measures,100
310073,Surgical Care Improvement Project Process of Care Measures,98
241331,Surgical Care Improvement Project Process of Care Measures,100
360118,Heart Failure Process of Care Measures,92
420070,Heart Attack or Chest Pain Process of Care Measures,96
241336,Surgical Care Improvement Project Process of Care Measures,N/A
450833,Heart Attack or Chest Pain Process of Care Measures,86
520198,Surgical Care Improvement Project Process of Care Measures,94
440040,Heart Attack or Chest Pain Process of Care Measures,N/A
310110,Heart Attack or Chest Pain Process of Care Measures,93
450840,Heart Failure Process of Care Measures,84
101310,Pneumonia Process of Care Measures,96
670056,Heart Attack or Chest Pain Process of Care Measures,N/A
340024,Surgical Care Improvement Project Process of Care Measures,97
150109,Heart Attack or Chest Pain Process of Care Measures,100
340153,Pneumonia Process of Care Measures,N/A
520034,Heart Attack or Chest Pain Process of Care Measures,N/A
50523,Surgical Care Improvement Project Process of Care Measures,97
340147,Surgical Care Improvement Project Process of Care Measures,90
40001,Surgical Care Improvement Project Process of Care Measures,86
440125,Heart Failure Process of Care Measures,100
270004,Heart Attack or Chest Pain Process of Care Measures,100
440091,Heart Failure Process of Care Measures,98
180087,Heart Attack or Chest Pain Process of Care Measures,100
50766,Heart Attack or Chest Pain Process of Care Measures,N/A
391305,Heart Attack or Chest Pain Process of Care Measures,155
340075,Heart Failure Process of Care Measures,93
321301,Pneumonia Process of Care Measures,100
110130,Surgical Care Improvement Project Process of Care Measures,100
440032,Heart Attack or Chest Pain Process of Care Measures,100
100299,Pneumonia Process of Care Measures,98
260005,Heart Attack or Chest Pain Process of Care Measures,99
530010,Surgical Care Improvement Project Process of Care Measures,94
341325,Heart Attack or Chest Pain Process of Care Measures,N/A
390231,Surgical Care Improvement Project Process of Care Measures,97
150056,Pneumonia Process of Care Measures,97
260176,Heart Failure Process of Care Measures,100
140067,Surgical Care Improvement Project Process of Care Measures,100
50435,Pneumonia Process of Care Measures,95
341325,Heart Attack or Chest Pain Process of Care Measures,97
260162,Heart Attack or Chest Pain Process of Care Measures,100
180132,Heart Attack or Chest Pain Process of Care Measures,100
280128,Heart Attack or Chest Pain Process of Care Measures,N/A
420103,Pneumonia Process of Care Measures,94
351309,Heart Failure Process of Care Measures,50
36007F,Surgical Care Improvement Project Process of Care Measures,100
360170,Surgical Care Improvement Project Process of Care Measures,100
440133,Surgical Care Improvement Project Process of Care Measures,93
360068,Pneumonia Process of Care Measures,90
521352,Heart Failure Process of Care Measures,100
360075,Heart Attack or Chest Pain Process of Care Measures,N/A
190259,Heart Attack or Chest Pain Process of Care Measures,N/A
70040,Heart Attack or Chest Pain Process of Care Measures,N/A
140213,Surgical Care Improvement Project Process of Care Measures,100
17008F,Surgical Care Improvement Project Process of Care Measures,88
330103,Pneumonia Process of Care Measures,91
380027,Surgical Care Improvement Project Process of Care Measures,97
161328,Heart Attack or Chest Pain Process of Care Measures,N/A
50396,Heart Attack or Chest Pain Process of Care Measures,N/A
10034,Surgical Care Improvement Project Process of Care Measures,100
10009F,Heart Attack or Chest Pain Process of Care Measures,100
231314,Surgical Care Improvement Project Process of Care Measures,94
390058,Heart Failure Process of Care Measures,100
110031,Pneumonia Process of Care Measures,93
10040,Surgical Care Improvement Project Process of Care Measures,92
420009,Pneumonia Process of Care Measures,96
50516,Heart Failure Process of Care Measures,100
330182,Heart Attack or Chest Pain Process of Care Measures,96
110075,Pneumonia Process of Care Measures,97
150102,Heart Attack or Chest Pain Process of Care Measures,100
170186,Surgical Care Improvement Project Process of Care Measures,96
140174,Surgical Care Improvement Project Process of Care Measures,70
360143,Surgical Care Improvement Project Process of Care Measures,97
251320,Heart Attack or Chest Pain Process of Care Measures,N/A
210040,Heart Failure Process of Care Measures,98
230208,Surgical Care Improvement Project Process of Care Measures,92
350064,Heart Failure Process of Care Measures,N/A
330353,Surgical Care Improvement Project Process of Care Measures,100
260068,Heart Attack or Chest Pain Process of Care Measures,100
510001,Surgical Care Improvement Project Process of Care Measures,100
390153,Pneumonia Process of Care Measures,100
30038,Surgical Care Improvement Project Process of Care Measures,96
330277,Heart Attack or Chest Pain Process of Care Measures,100
10128,Heart Failure Process of Care Measures,97
511311,Surgical Care Improvement Project Process of Care Measures,N/A
50464,Surgical Care Improvement Project Process of Care Measures,82
50315,Surgical Care Improvement Project Process of Care Measures,69
310029,Surgical Care Improvement Project Process of Care Measures,100
120028,Pneumonia Process of Care Measures,100
330166,Surgical Care Improvement Project Process of Care Measures,N/A
100019,Surgical Care Improvement Project Process of Care Measures,90
340020,Heart Attack or Chest Pain Process of Care Measures,N/A
230151,Surgical Care Improvement Project Process of Care Measures,99
330047,Surgical Care Improvement Project Process of Care Measures,98
140120,Heart Attack or Chest Pain Process of Care Measures,98
50503,Heart Failure Process of Care Measures,100
40051,Surgical Care Improvement Project Process of Care Measures,N/A
361319,Heart Attack or Chest Pain Process of Care Measures,N/A
201301,Pneumonia Process of Care Measures,100
440025,Heart Attack or Chest Pain Process of Care Measures,10
50680,Heart Attack or Chest Pain Process of Care Measures,100
170023,Heart Attack or Chest Pain Process of Care Measures,104
241319,Heart Attack or Chest Pain Process of Care Measures,N/A
330250,Surgical Care Improvement Project Process of Care Measures,100
50043,Surgical Care Improvement Project Process of Care Measures,96
210001,Heart Failure Process of Care Measures,99
140145,Surgical Care Improvement Project Process of Care Measures,89
330132,Heart Attack or Chest Pain Process of Care Measures,100
141326,Surgical Care Improvement Project Process of Care Measures,100
450099,Surgical Care Improvement Project Process of Care Measures,N/A
50131,Heart Attack or Chest Pain Process of Care Measures,100
670044,Surgical Care Improvement Project Process of Care Measures,71
250122,Heart Attack or Chest Pain Process of Care Measures,100
440161,Heart Attack or Chest Pain Process of Care Measures,100
330169,Heart Failure Process of Care Measures,95
220035,Surgical Care Improvement Project Process of Care Measures,99
140291,Heart Attack or Chest Pain Process of Care Measures,100
110078,Heart Attack or Chest Pain Process of Care Measures,N/A
310084,Pneumonia Process of Care Measures,97
431338,Pneumonia Process of Care Measures,97
190111,Heart Attack or Chest Pain Process of Care Measures,11
431321,Surgical Care Improvement Project Process of Care Measures,N/A
150076,Heart Failure Process of Care Measures,96
140233,Pneumonia Process of Care Measures,100
320065,Heart Attack or Chest Pain Process of Care Measures,7
140150,Heart Attack or Chest Pain Process of Care Measures,80
250034,Heart Attack or Chest Pain Process of Care Measures,12
281347,Heart Attack or Chest Pain Process of Care Measures,N/A
230089,Heart Failure Process of Care Measures,100
120022,Surgical Care Improvement Project Process of Care Measures,95
450389,Pneumonia Process of Care Measures,93
100046,Surgical Care Improvement Project Process of Care Measures,96
150160,Heart Attack or Chest Pain Process of Care Measures,N/A
150163,Heart Attack or Chest Pain Process of Care Measures,67
390142,Heart Attack or Chest Pain Process of Care Measures,N/A
451370,Surgical Care Improvement Project Process of Care Measures,N/A
140280,Pneumonia Process of Care Measures,99
360276,Heart Attack or Chest Pain Process of Care Measures,100
500058,Pneumonia Process of Care Measures,98
