Provider Number,Condition,Score
440073,Heart Attack or Chest Pain Process of Care Measures,N/A
360054,Heart Attack or Chest Pain Process of Care Measures,95
200020,Surgical Care Improvement Project Process of Care Measures,96
41328,Heart Attack or Chest Pain Process of Care Measures,100
450801,Heart Attack or Chest Pain Process of Care Measures,95
60036,Surgical Care Improvement Project Process of Care Measures,N/A
161381,Heart Attack or Chest Pain Process of Care Measures,N/A
440161,Heart Failure Process of Care Measures,100
170094,Surgical Care Improvement Project Process of Care Measures,100
281332,Surgical Care Improvement Project Process of Care Measures,95
450200,Heart Attack or Chest Pain Process of Care Measures,94
370030,Pneumonia Process of Care Measures,100
390114,Surgical Care Improvement Project Process of Care Measures,97
61317,Pneumonia Process of Care Measures,94
370170,Pneumonia Process of Care Measures,57
100254,Heart Attack or Chest Pain Process of Care Measures,100
260070,Heart Attack or Chest Pain Process of Care Measures,0
330046,Pneumonia Process of Care Measures,97
281350,Heart Attack or Chest Pain Process of Care Measures,N/A
450395,Heart Attack or Chest Pain Process of Care Measures,0
171327,Heart Failure Process of Care Measures,60
440152,Surgical Care Improvement Project Process of Care Measures,93
450270,Heart Attack or Chest Pain Process of Care Measures,100
230096,Pneumonia Process of Care Measures,97
180045,Surgical Care Improvement Project Process of Care Measures,N/A
260059,Surgical Care Improvement Project Process of Care Measures,97
110150,Heart Attack or Chest Pain Process of Care Measures,86
10145,Heart Attack or Chest Pain Process of Care Measures,88
231307,Surgical Care Improvement Project Process of Care Measures,N/A
390223,Surgical Care Improvement Project Process of Care Measures,100
61307,Surgical Care Improvement Project Process of Care Measures,N/A
50457,Heart Failure Process of Care Measures,100
260179,Heart Attack or Chest Pain Process of Care Measures,100
420080,Pneumonia Process of Care Measures,94
161327,Surgical Care Improvement Project Process of Care Measures,N/A
281341,Heart Attack or Chest Pain Process of Care Measures,N/A
670060,Pneumonia Process of Care Measures,N/A
320014,Surgical Care Improvement Project Process of Care Measures,95
230077,Heart Attack or Chest Pain Process of Care Measures,N/A
511308,Heart Attack or Chest Pain Process of Care Measures,N/A
150003,Heart Attack or Chest Pain Process of Care Measures,99
220046,Pneumonia Process of Care Measures,95
420051,Surgical Care Improvement Project Process of Care Measures,87
521323,Pneumonia Process of Care Measures,100
310111,Surgical Care Improvement Project Process of Care Measures,89
180012,Heart Attack or Chest Pain Process of Care Measures,98
511310,Heart Attack or Chest Pain Process of Care Measures,N/A
341322,Pneumonia Process of Care Measures,97
260193,Surgical Care Improvement Project Process of Care Measures,98
390003,Heart Attack or Chest Pain Process of Care Measures,100
141351,Pneumonia Process of Care Measures,94
60076,Heart Failure Process of Care Measures,100
161373,Pneumonia Process of Care Measures,78
330128,Pneumonia Process of Care Measures,87
50580,Heart Attack or Chest Pain Process of Care Measures,100
510007,Surgical Care Improvement Project Process of Care Measures,96
150162,Heart Attack or Chest Pain Process of Care Measures,N/A
161372,Surgical Care Improvement Project Process of Care Measures,89
110215,Heart Attack or Chest Pain Process of Care Measures,N/A
431332,Surgical Care Improvement Project Process of Care Measures,N/A
241337,Heart Failure Process of Care Measures,50
10011,Heart Attack or Chest Pain Process of Care Measures,N/A
50131,Heart Attack or Chest Pain Process of Care Measures,100
521356,Heart Attack or Chest Pain Process of Care Measures,N/A
380051,Surgical Care Improvement Project Process of Care Measures,97
200009,Surgical Care Improvement Project Process of Care Measures,96
10129,Pneumonia Process of Care Measures,100
520038,Heart Attack or Chest Pain Process of Care Measures,100
531305,Pneumonia Process of Care Measures,94
510070,Heart Attack or Chest Pain Process of Care Measures,100
400079,Surgical Care Improvement Project Process of Care Measures,66
360185,Surgical Care Improvement Project Process of Care Measures,100
450886,Pneumonia Process of Care Measures,N/A
490052,Surgical Care Improvement Project Process of Care Measures,94
320065,Surgical Care Improvement Project Process of Care Measures,99
340148,Heart Attack or Chest Pain Process of Care Measures,N/A
70020,Pneumonia Process of Care Measures,99
160030,Heart Attack or Chest Pain Process of Care Measures,N/A
271320,Heart Attack or Chest Pain Process of Care Measures,N/A
100034,Pneumonia Process of Care Measures,96
451313,Heart Failure Process of Care Measures,N/A
450711,Heart Attack or Chest Pain Process of Care Measures,100
150024,Heart Attack or Chest Pain Process of Care Measures,90
80003,Heart Attack or Chest Pain Process of Care Measures,N/A
110030,Pneumonia Process of Care Measures,100
51331,Heart Failure Process of Care Measures,100
10035,Surgical Care Improvement Project Process of Care Measures,92
10087,Pneumonia Process of Care Measures,90
10113,Heart Attack or Chest Pain Process of Care Measures,756
260116,Heart Attack or Chest Pain Process of Care Measures,100
490140,Heart Attack or Chest Pain Process of Care Measures,58
40014,Heart Failure Process of Care Measures,85
450894,Pneumonia Process of Care Measures,N/A
50537,Heart Attack or Chest Pain Process of Care Measures,100
100140,Heart Failure Process of Care Measures,99
361323,Heart Attack or Chest Pain Process of Care Measures,N/A
151320,Heart Attack or Chest Pain Process of Care Measures,N/A
670068,Pneumonia Process of Care Measures,N/A
670061,Surgical Care Improvement Project Process of Care Measures,100
510001,Heart Attack or Chest Pain Process of Care Measures,100
491303,Heart Attack or Chest Pain Process of Care Measures,6
390070,Heart Attack or Chest Pain Process of Care Measures,N/A
230078,Surgical Care Improvement Project Process of Care Measures,92
360001,Heart Attack or Chest Pain Process of Care Measures,100
310009,Surgical Care Improvement Project Process of Care Measures,97
120006,Pneumonia Process of Care Measures,91
50232,Pneumonia Process of Care Measures,100
100049,Pneumonia Process of Care Measures,100
150008,Surgical Care Improvement Project Process of Care Measures,97
450770,Pneumonia Process of Care Measures,N/A
490007,Heart Attack or Chest Pain Process of Care Measures,87
501312,Heart Attack or Chest Pain Process of Care Measures,N/A
25043F,Surgical Care Improvement Project Process of Care Measures,100
340158,Pneumonia Process of Care Measures,93
140118,Heart Attack or Chest Pain Process of Care Measures,8
370202,Surgical Care Improvement Project Process of Care Measures,99
10097,Heart Attack or Chest Pain Process of Care Measures,83
170146,Heart Attack or Chest Pain Process of Care Measures,N/A
60076,Heart Attack or Chest Pain Process of Care Measures,N/A
141351,Surgical Care Improvement Project Process of Care Measures,67
390256,Heart Attack or Chest Pain Process of Care Measures,99
51305,Heart Failure Process of Care Measures,100
400126,Surgical Care Improvement Project Process of Care Measures,0
171353,Heart Attack or Chest Pain Process of Care Measures,N/A
520205,Heart Attack or Chest Pain Process of Care Measures,N/A
310073,Surgical Care Improvement Project Process of Care Measures,99
310041,Heart Attack or Chest Pain Process of Care Measures,100
190128,Surgical Care Improvement Project Process of Care Measures,76
31001F,Heart Attack or Chest Pain Process of Care Measures,N/A
180001,Heart Attack or Chest Pain Process of Care Measures,100
390127,Heart Failure Process of Care Measures,96
100258,Heart Attack or Chest Pain Process of Care Measures,100
100110,Heart Attack or Chest Pain Process of Care Measures,N/A
05031F,Heart Attack or Chest Pain Process of Care Measures,100
330285,Heart Attack or Chest Pain Process of Care Measures,N/A
260027,Heart Failure Process of Care Measures,100
310120,Heart Failure Process of Care Measures,100
310083,Heart Attack or Chest Pain Process of Care Measures,N/A
330259,Pneumonia Process of Care Measures,94
110129,Heart Failure Process of Care Measures,94
450400,Surgical Care Improvement Project Process of Care Measures,67
521333,Pneumonia Process of Care Measures,64
360020,Heart Attack or Chest Pain Process of Care Measures,100
390314,Heart Attack or Chest Pain Process of Care Measures,N/A
451337,Surgical Care Improvement Project Process of Care Measures,N/A
360016,Pneumonia Process of Care Measures,99
250050,Surgical Care Improvement Project Process of Care Measures,81
290007,Surgical Care Improvement Project Process of Care Measures,94
260180,Heart Attack or Chest Pain Process of Care Measures,99
161310,Heart Attack or Chest Pain Process of Care Measures,N/A
420072,Heart Attack or Chest Pain Process of Care Measures,N/A
241365,Surgical Care Improvement Project Process of Care Measures,N/A
450446,Pneumonia Process of Care Measures,N/A
330405,Surgical Care Improvement Project Process of Care Measures,N/A
251320,Surgical Care Improvement Project Process of Care Measures,N/A
170058,Heart Attack or Chest Pain Process of Care Measures,80
100081,Heart Attack or Chest Pain Process of Care Measures,40
301304,Heart Attack or Chest Pain Process of Care Measures,88
390062,Surgical Care Improvement Project Process of Care Measures,99
10034,Heart Attack or Chest Pain Process of Care Measures,100
291307,Pneumonia Process of Care Measures,100
330401,Heart Attack or Chest Pain Process of Care Measures,98
160057,Heart Attack or Chest Pain Process of Care Measures,N/A
471306,Surgical Care Improvement Project Process of Care Measures,100
260048,Pneumonia Process of Care Measures,98
60075,Pneumonia Process of Care Measures,93
100087,Heart Attack or Chest Pain Process of Care Measures,82
330240,Heart Attack or Chest Pain Process of Care Measures,N/A
140290,Surgical Care Improvement Project Process of Care Measures,94
501312,Heart Failure Process of Care Measures,73
390313,Heart Attack or Chest Pain Process of Care Measures,N/A
50464,Pneumonia Process of Care Measures,97
50376,Pneumonia Process of Care Measures,76
531301,Surgical Care Improvement Project Process of Care Measures,N/A
450123,Heart Failure Process of Care Measures,90
50153,Surgical Care Improvement Project Process of Care Measures,92
151318,Heart Failure Process of Care Measures,94
250059,Surgical Care Improvement Project Process of Care Measures,N/A
240063,Pneumonia Process of Care Measures,100
140158,Pneumonia Process of Care Measures,51
431325,Surgical Care Improvement Project Process of Care Measures,N/A
390009,Heart Attack or Chest Pain Process of Care Measures,N/A
260085,Surgical Care Improvement Project Process of Care Measures,96
22010F,Pneumonia Process of Care Measures,99
60049,Surgical Care Improvement Project Process of Care Measures,100
140147,Heart Failure Process of Care Measures,89
280111,Heart Attack or Chest Pain Process of Care Measures,100
190004,Pneumonia Process of Care Measures,96
140114,Pneumonia Process of Care Measures,89
330067,Heart Attack or Chest Pain Process of Care Measures,100
460007,Heart Failure Process of Care Measures,100
340160,Pneumonia Process of Care Measures,98
420027,Surgical Care Improvement Project Process of Care Measures,98
330224,Heart Failure Process of Care Measures,98
450123,Heart Attack or Chest Pain Process of Care Measures,81
340075,Surgical Care Improvement Project Process of Care Measures,96
50696,Surgical Care Improvement Project Process of Care Measures,98
10085,Surgical Care Improvement Project Process of Care Measures,100
371322,Heart Attack or Chest Pain Process of Care Measures,N/A
380037,Surgical Care Improvement Project Process of Care Measures,98
310006,Heart Attack or Chest Pain Process of Care Measures,N/A
250040,Surgical Care Improvement Project Process of Care Measures,98
51311,Surgical Care Improvement Project Process of Care Measures,N/A
190263,Heart Attack or Chest Pain Process of Care Measures,N/A
450848,Heart Attack or Chest Pain Process of Care Measures,100
260195,Heart Failure Process of Care Measures,85
490090,Surgical Care Improvement Project Process of Care Measures,N/A
220135,Heart Attack or Chest Pain Process of Care Measures,8
170039,Pneumonia Process of Care Measures,83
50128,Pneumonia Process of Care Measures,100
50043,Surgical Care Improvement Project Process of Care Measures,97
670005,Heart Attack or Chest Pain Process of Care Measures,N/A
260025,Pneumonia Process of Care Measures,90
370008,Pneumonia Process of Care Measures,96
381325,Surgical Care Improvement Project Process of Care Measures,88
150030,Surgical Care Improvement Project Process of Care Measures,95
450107,Surgical Care Improvement Project Process of Care Measures,98
360035,Pneumonia Process of Care Measures,95
241303,Heart Attack or Chest Pain Process of Care Measures,N/A
490021,Surgical Care Improvement Project Process of Care Measures,98
400120,Pneumonia Process of Care Measures,N/A
450558,Heart Failure Process of Care Measures,99
520096,Heart Attack or Chest Pain Process of Care Measures,N/A
260061,Heart Attack or Chest Pain Process of Care Measures,67
450749,Surgical Care Improvement Project Process of Care Measures,N/A
440156,Surgical Care Improvement Project Process of Care Measures,99
450072,Heart Attack or Chest Pain Process of Care Measures,99
260001,Heart Attack or Chest Pain Process of Care Measures,100
340070,Surgical Care Improvement Project Process of Care Measures,100
310002,Surgical Care Improvement Project Process of Care Measures,99
381321,Heart Attack or Chest Pain Process of Care Measures,100
150037,Heart Attack or Chest Pain Process of Care Measures,75
450690,Heart Attack or Chest Pain Process of Care Measures,91
450686,Pneumonia Process of Care Measures,93
360180,Heart Attack or Chest Pain Process of Care Measures,N/A
280003,Heart Attack or Chest Pain Process of Care Measures,97
16003F,Heart Attack or Chest Pain Process of Care Measures,N/A
30071,Surgical Care Improvement Project Process of Care Measures,N/A
330234,Heart Attack or Chest Pain Process of Care Measures,N/A
420101,Heart Attack or Chest Pain Process of Care Measures,50
30043,Pneumonia Process of Care Measures,96
450073,Pneumonia Process of Care Measures,77
42029F,Heart Attack or Chest Pain Process of Care Measures,100
190054,Heart Attack or Chest Pain Process of Care Measures,100
330141,Heart Attack or Chest Pain Process of Care Measures,100
670019,Heart Attack or Chest Pain Process of Care Measures,N/A
440162,Surgical Care Improvement Project Process of Care Measures,N/A
191321,Surgical Care Improvement Project Process of Care Measures,78
400018,Surgical Care Improvement Project Process of Care Measures,50
351302,Heart Failure Process of Care Measures,100
340106,Pneumonia Process of Care Measures,92
41327,Surgical Care Improvement Project Process of Care Measures,N/A
390146,Surgical Care Improvement Project Process of Care Measures,78
171378,Surgical Care Improvement Project Process of Care Measures,40
170039,Surgical Care Improvement Project Process of Care Measures,100
520109,Heart Attack or Chest Pain Process of Care Measures,N/A
450770,Heart Attack or Chest Pain Process of Care Measures,N/A
390278,Heart Attack or Chest Pain Process of Care Measures,N/A
39013F,Surgical Care Improvement Project Process of Care Measures,N/A
140148,Surgical Care Improvement Project Process of Care Measures,97
230104,Surgical Care Improvement Project Process of Care Measures,78
450124,Pneumonia Process of Care Measures,100
240141,Pneumonia Process of Care Measures,96
100139,Pneumonia Process of Care Measures,71
670056,Heart Failure Process of Care Measures,100
310108,Pneumonia Process of Care Measures,94
151324,Heart Attack or Chest Pain Process of Care Measures,N/A
100002,Surgical Care Improvement Project Process of Care Measures,92
330231,Surgical Care Improvement Project Process of Care Measures,98
160029,Heart Attack or Chest Pain Process of Care Measures,100
50516,Pneumonia Process of Care Measures,90
340085,Pneumonia Process of Care Measures,99
240004,Surgical Care Improvement Project Process of Care Measures,94
220176,Pneumonia Process of Care Measures,98
300029,Heart Attack or Chest Pain Process of Care Measures,100
371323,Heart Attack or Chest Pain Process of Care Measures,N/A
50714,Heart Attack or Chest Pain Process of Care Measures,N/A
181305,Surgical Care Improvement Project Process of Care Measures,N/A
450080,Surgical Care Improvement Project Process of Care Measures,90
390318,Pneumonia Process of Care Measures,75
450078,Heart Attack or Chest Pain Process of Care Measures,N/A
150166,Surgical Care Improvement Project Process of Care Measures,100
50674,Pneumonia Process of Care Measures,99
450877,Pneumonia Process of Care Measures,95
281316,Heart Failure Process of Care Measures,0
510018,Surgical Care Improvement Project Process of Care Measures,100
420002,Heart Attack or Chest Pain Process of Care Measures,99
530002,Surgical Care Improvement Project Process of Care Measures,87
151308,Heart Attack or Chest Pain Process of Care Measures,2
100213,Surgical Care Improvement Project Process of Care Measures,93
370220,Surgical Care Improvement Project Process of Care Measures,100
01019F,Pneumonia Process of Care Measures,100
450419,Surgical Care Improvement Project Process of Care Measures,N/A
180104,Heart Attack or Chest Pain Process of Care Measures,0
190204,Heart Attack or Chest Pain Process of Care Measures,N/A
60034,Pneumonia Process of Care Measures,99
200050,Heart Failure Process of Care Measures,100
440130,Heart Attack or Chest Pain Process of Care Measures,100
670049,Surgical Care Improvement Project Process of Care Measures,100
390079,Heart Attack or Chest Pain Process of Care Measures,N/A
100234,Surgical Care Improvement Project Process of Care Measures,100
340155,Surgical Care Improvement Project Process of Care Measures,99
38003F,Heart Attack or Chest Pain Process of Care Measures,100
320084,Surgical Care Improvement Project Process of Care Measures,N/A
100043,Pneumonia Process of Care Measures,96
340133,Surgical Care Improvement Project Process of Care Measures,100
450638,Pneumonia Process of Care Measures,98
360241,Heart Attack or Chest Pain Process of Care Measures,N/A
50073,Surgical Care Improvement Project Process of Care Measures,95
250015,Surgical Care Improvement Project Process of Care Measures,97
100132,Surgical Care Improvement Project Process of Care Measures,81
240050,Surgical Care Improvement Project Process of Care Measures,97
180080,Heart Attack or Chest Pain Process of Care Measures,98
100265,Surgical Care Improvement Project Process of Care Measures,92
450033,Surgical Care Improvement Project Process of Care Measures,91
140053,Pneumonia Process of Care Measures,87
451305,Heart Attack or Chest Pain Process of Care Measures,N/A
100181,Heart Attack or Chest Pain Process of Care Measures,100
340096,Heart Attack or Chest Pain Process of Care Measures,9
240006,Pneumonia Process of Care Measures,88
30088,Surgical Care Improvement Project Process of Care Measures,98
50132,Surgical Care Improvement Project Process of Care Measures,90
241381,Pneumonia Process of Care Measures,98
520057,Pneumonia Process of Care Measures,99
150047,Surgical Care Improvement Project Process of Care Measures,96
101300,Heart Attack or Chest Pain Process of Care Measures,N/A
360077,Pneumonia Process of Care Measures,96
440015,Pneumonia Process of Care Measures,92
161362,Heart Attack or Chest Pain Process of Care Measures,N/A
141317,Surgical Care Improvement Project Process of Care Measures,N/A
100240,Surgical Care Improvement Project Process of Care Measures,N/A
370234,Pneumonia Process of Care Measures,100
100223,Heart Failure Process of Care Measures,100
230047,Surgical Care Improvement Project Process of Care Measures,98
10010,Surgical Care Improvement Project Process of Care Measures,97
10102,Heart Attack or Chest Pain Process of Care Measures,N/A
231330,Surgical Care Improvement Project Process of Care Measures,91
220046,Pneumonia Process of Care Measures,98
400032,Heart Attack or Chest Pain Process of Care Measures,100
220020,Pneumonia Process of Care Measures,99
140288,Heart Failure Process of Care Measures,100
140137,Heart Attack or Chest Pain Process of Care Measures,N/A
230030,Surgical Care Improvement Project Process of Care Measures,100
19043F,Heart Failure Process of Care Measures,100
100008,Heart Failure Process of Care Measures,100
420054,Surgical Care Improvement Project Process of Care Measures,100
521322,Surgical Care Improvement Project Process of Care Measures,100
50351,Pneumonia Process of Care Measures,97
100025,Heart Failure Process of Care Measures,100
380020,Surgical Care Improvement Project Process of Care Measures,95
270074,Surgical Care Improvement Project Process of Care Measures,N/A
10025,Heart Attack or Chest Pain Process of Care Measures,93
230092,Heart Failure Process of Care Measures,100
30092,Surgical Care Improvement Project Process of Care Measures,98
521322,Heart Attack or Chest Pain Process of Care Measures,N/A
371330,Heart Attack or Chest Pain Process of Care Measures,N/A
100130,Surgical Care Improvement Project Process of Care Measures,81
420026,Pneumonia Process of Care Measures,80
201313,Heart Attack or Chest Pain Process of Care Measures,N/A
50254,Heart Attack or Chest Pain Process of Care Measures,N/A
200002,Surgical Care Improvement Project Process of Care Measures,N/A
150034,Heart Failure Process of Care Measures,96
521359,Heart Attack or Chest Pain Process of Care Measures,100
331302,Surgical Care Improvement Project Process of Care Measures,N/A
520028,Heart Attack or Chest Pain Process of Care Measures,100
511310,Heart Attack or Chest Pain Process of Care Measures,100
110122,Heart Attack or Chest Pain Process of Care Measures,98
370216,Surgical Care Improvement Project Process of Care Measures,97
450018,Surgical Care Improvement Project Process of Care Measures,94
140101,Heart Failure Process of Care Measures,90
460047,Heart Attack or Chest Pain Process of Care Measures,100
520009,Heart Attack or Chest Pain Process of Care Measures,100
431306,Heart Attack or Chest Pain Process of Care Measures,N/A
430083,Heart Attack or Chest Pain Process of Care Measures,N/A
111327,Heart Attack or Chest Pain Process of Care Measures,N/A
471306,Surgical Care Improvement Project Process of Care Measures,100
271309,Surgical Care Improvement Project Process of Care Measures,N/A
460015,Heart Attack or Chest Pain Process of Care Measures,N/A
40132,Heart Attack or Chest Pain Process of Care Measures,N/A
491307,Heart Attack or Chest Pain Process of Care Measures,100
230093,Heart Attack or Chest Pain Process of Care Measures,N/A
241327,Surgical Care Improvement Project Process of Care Measures,100
420007,Pneumonia Process of Care Measures,91
261307,Pneumonia Process of Care Measures,75
61316,Surgical Care Improvement Project Process of Care Measures,N/A
431321,Pneumonia Process of Care Measures,82
120019,Pneumonia Process of Care Measures,100
50353,Heart Failure Process of Care Measures,98
241313,Heart Failure Process of Care Measures,0
50236,Heart Failure Process of Care Measures,100
50257,Pneumonia Process of Care Measures,90
451321,Surgical Care Improvement Project Process of Care Measures,N/A
111332,Surgical Care Improvement Project Process of Care Measures,N/A
260186,Heart Failure Process of Care Measures,92
450813,Heart Attack or Chest Pain Process of Care Measures,N/A
180021,Heart Attack or Chest Pain Process of Care Measures,75
171333,Surgical Care Improvement Project Process of Care Measures,93
140048,Heart Attack or Chest Pain Process of Care Measures,9
670031,Pneumonia Process of Care Measures,76
161330,Surgical Care Improvement Project Process of Care Measures,100
26009F,Surgical Care Improvement Project Process of Care Measures,99
500044,Heart Attack or Chest Pain Process of Care Measures,N/A
161316,Heart Attack or Chest Pain Process of Care Measures,N/A
190004,Pneumonia Process of Care Measures,94
100313,Surgical Care Improvement Project Process of Care Measures,N/A
431336,Heart Attack or Chest Pain Process of Care Measures,N/A
450097,Surgical Care Improvement Project Process of Care Measures,100
361300,Pneumonia Process of Care Measures,100
520070,Heart Attack or Chest Pain Process of Care Measures,100
241325,Pneumonia Process of Care Measures,100
300012,Heart Failure Process of Care Measures,100
400001,Heart Attack or Chest Pain Process of Care Measures,N/A
190256,Heart Attack or Chest Pain Process of Care Measures,N/A
220105,Heart Attack or Chest Pain Process of Care Measures,100
210056,Surgical Care Improvement Project Process of Care Measures,96
290054,Heart Attack or Chest Pain Process of Care Measures,18
61317,Heart Attack or Chest Pain Process of Care Measures,N/A
521304,Heart Attack or Chest Pain Process of Care Measures,95
450054,Heart Attack or Chest Pain Process of Care Measures,100
490079,Pneumonia Process of Care Measures,94
360011,Heart Attack or Chest Pain Process of Care Measures,N/A
440151,Heart Attack or Chest Pain Process of Care Measures,N/A
260210,Surgical Care Improvement Project Process of Care Measures,91
230089,Surgical Care Improvement Project Process of Care Measures,100
340017,Surgical Care Improvement Project Process of Care Measures,98
390032,Heart Attack or Chest Pain Process of Care Measures,100
330151,Surgical Care Improvement Project Process of Care Measures,88
381304,Surgical Care Improvement Project Process of Care Measures,83
450192,Surgical Care Improvement Project Process of Care Measures,100
450547,Heart Attack or Chest Pain Process of Care Measures,92
521311,Pneumonia Process of Care Measures,100
360070,Surgical Care Improvement Project Process of Care Measures,91
510048,Pneumonia Process of Care Measures,88
531308,Surgical Care Improvement Project Process of Care Measures,N/A
450862,Heart Attack or Chest Pain Process of Care Measures,N/A
390219,Heart Attack or Chest Pain Process of Care Measures,N/A
461300,Surgical Care Improvement Project Process of Care Measures,100
150011,Surgical Care Improvement Project Process of Care Measures,100
220046,Heart Attack or Chest Pain Process of Care Measures,100
440091,Surgical Care Improvement Project Process of Care Measures,91
41326,Surgical Care Improvement Project Process of Care Measures,100
17006F,Heart Attack or Chest Pain Process of Care Measures,100
420080,Heart Attack or Chest Pain Process of Care Measures,0
670054,Heart Attack or Chest Pain Process of Care Measures,N/A
521309,Heart Attack or Chest Pain Process of Care Measures,N/A
371328,Surgical Care Improvement Project Process of Care Measures,N/A
190116,Surgical Care Improvement Project Process of Care Measures,92
450411,Surgical Care Improvement Project Process of Care Measures,100
240066,Heart Attack or Chest Pain Process of Care Measures,N/A
151309,Heart Failure Process of Care Measures,100
180043,Heart Attack or Chest Pain Process of Care Measures,12
160047,Surgical Care Improvement Project Process of Care Measures,94
50336,Heart Attack or Chest Pain Process of Care Measures,73
450711,Heart Attack or Chest Pain Process of Care Measures,N/A
460033,Pneumonia Process of Care Measures,100
160028,Pneumonia Process of Care Measures,100
110059,Pneumonia Process of Care Measures,97
430008,Surgical Care Improvement Project Process of Care Measures,83
50091,Surgical Care Improvement Project Process of Care Measures,82
120007,Surgical Care Improvement Project Process of Care Measures,78
40072,Heart Attack or Chest Pain Process of Care Measures,N/A
500129,Heart Failure Process of Care Measures,94
40047,Surgical Care Improvement Project Process of Care Measures,N/A
440176,Pneumonia Process of Care Measures,95
390267,Heart Attack or Chest Pain Process of Care Measures,91
110122,Pneumonia Process of Care Measures,94
340010,Heart Attack or Chest Pain Process of Care Measures,N/A
271332,Surgical Care Improvement Project Process of Care Measures,64
420016,Heart Failure Process of Care Measures,91
170094,Heart Attack or Chest Pain Process of Care Measures,N/A
440130,Heart Attack or Chest Pain Process of Care Measures,100
290006,Surgical Care Improvement Project Process of Care Measures,99
181327,Surgical Care Improvement Project Process of Care Measures,N/A
521313,Heart Attack or Chest Pain Process of Care Measures,N/A
110064,Pneumonia Process of Care Measures,84
30087,Surgical Care Improvement Project Process of Care Measures,88
451320,Heart Attack or Chest Pain Process of Care Measures,N/A
450824,Heart Attack or Chest Pain Process of Care Measures,98
480002,Surgical Care Improvement Project Process of Care Measures,85
501312,Surgical Care Improvement Project Process of Care Measures,95
450018,Pneumonia Process of Care Measures,94
281303,Pneumonia Process of Care Measures,N/A
161364,Heart Failure Process of Care Measures,100
430082,Surgical Care Improvement Project Process of Care Measures,N/A
230121,Surgical Care Improvement Project Process of Care Measures,95
330259,Surgical Care Improvement Project Process of Care Measures,95
190034,Heart Attack or Chest Pain Process of Care Measures,100
70040,Heart Attack or Chest Pain Process of Care Measures,N/A
450475,Heart Attack or Chest Pain Process of Care Measures,93
110143,Heart Attack or Chest Pain Process of Care Measures,4
141339,Pneumonia Process of Care Measures,98
450209,Heart Attack or Chest Pain Process of Care Measures,97
61324,Heart Attack or Chest Pain Process of Care Measures,100
370202,Pneumonia Process of Care Measures,98
100252,Heart Attack or Chest Pain Process of Care Measures,N/A
320016,Heart Attack or Chest Pain Process of Care Measures,100
170183,Heart Failure Process of Care Measures,N/A
240196,Surgical Care Improvement Project Process of Care Measures,N/A
33012F,Pneumonia Process of Care Measures,88
330224,Surgical Care Improvement Project Process of Care Measures,86
521317,Surgical Care Improvement Project Process of Care Measures,N/A
10001,Surgical Care Improvement Project Process of Care Measures,92
521341,Pneumonia Process of Care Measures,81
180025,Surgical Care Improvement Project Process of Care Measures,97
441317,Heart Attack or Chest Pain Process of Care Measures,50
520088,Surgical Care Improvement Project Process of Care Measures,97
281364,Pneumonia Process of Care Measures,95
500027,Heart Attack or Chest Pain Process of Care Measures,N/A
10001,Surgical Care Improvement Project Process of Care Measures,99
420062,Heart Attack or Chest Pain Process of Care Measures,100
521349,Heart Attack or Chest Pain Process of Care Measures,N/A
70011,Heart Attack or Chest Pain Process of Care Measures,12
50145,Surgical Care Improvement Project Process of Care Measures,100
390026,Pneumonia Process of Care Measures,100
231312,Heart Failure Process of Care Measures,N/A
330397,Heart Attack or Chest Pain Process of Care Measures,91
360008,Heart Attack or Chest Pain Process of Care Measures,100
310009,Heart Attack or Chest Pain Process of Care Measures,100
361310,Surgical Care Improvement Project Process of Care Measures,N/A
50298,Surgical Care Improvement Project Process of Care Measures,91
151300,Heart Attack or Chest Pain Process of Care Measures,N/A
360048,Pneumonia Process of Care Measures,94
220033,Surgical Care Improvement Project Process of Care Measures,99
20018,Surgical Care Improvement Project Process of Care Measures,N/A
50225,Pneumonia Process of Care Measures,90
50552,Heart Attack or Chest Pain Process of Care Measures,N/A
340071,Surgical Care Improvement Project Process of Care Measures,86
170120,Heart Failure Process of Care Measures,100
141340,Pneumonia Process of Care Measures,78
250122,Pneumonia Process of Care Measures,94
670044,Heart Failure Process of Care Measures,96
510085,Heart Attack or Chest Pain Process of Care Measures,30
260200,Heart Attack or Chest Pain Process of Care Measures,100
310096,Heart Attack or Chest Pain Process of Care Measures,96
490092,Surgical Care Improvement Project Process of Care Measures,N/A
450610,Surgical Care Improvement Project Process of Care Measures,100
150177,Surgical Care Improvement Project Process of Care Measures,N/A
520091,Surgical Care Improvement Project Process of Care Measures,98
231326,Surgical Care Improvement Project Process of Care Measures,N/A
490116,Pneumonia Process of Care Measures,99
521342,Heart Attack or Chest Pain Process of Care Measures,N/A
321305,Heart Attack or Chest Pain Process of Care Measures,N/A
271302,Surgical Care Improvement Project Process of Care Measures,N/A
260040,Surgical Care Improvement Project Process of Care Measures,97
450023,Pneumonia Process of Care Measures,83
320083,Heart Attack or Chest Pain Process of Care Measures,100
50194,Pneumonia Process of Care Measures,98
220175,Heart Attack or Chest Pain Process of Care Measures,100
521305,Pneumonia Process of Care Measures,100
310052,Pneumonia Process of Care Measures,98
50127,Surgical Care Improvement Project Process of Care Measures,97
60119,Heart Attack or Chest Pain Process of Care Measures,N/A
450795,Pneumonia Process of Care Measures,35
501309,Heart Attack or Chest Pain Process of Care Measures,68
