Provider Number,Condition,Score
360010,Pneumonia Process of Care Measures,97
431335,Heart Failure Process of Care Measures,85
390180,Surgical Care Improvement Project Process of Care Measures,95
111334,Surgical Care Improvement Project Process of Care Measures,N/A
290008,Heart Attack or Chest Pain Process of Care Measures,N/A
450438,Heart Attack or Chest Pain Process of Care Measures,N/A
490109,Surgical Care Improvement Project Process of Care Measures,N/A
140007,Heart Attack or Chest Pain Process of Care Measures,99
440059,Heart Attack or Chest Pain Process of Care Measures,96
501318,Heart Attack or Chest Pain Process of Care Measures,N/A
250141,Pneumonia Process of Care Measures,99
110002,Pneumonia Process of Care Measures,96
261329,Surgical Care Improvement Project Process of Care Measures,N/A
360123,Surgical Care Improvement Project Process of Care Measures,94
360245,Surgical Care Improvement Project Process of Care Measures,N/A
50039,Pneumonia Process of Care Measures,83
400015,Pneumonia Process of Care Measures,75
360087,Heart Attack or Chest Pain Process of Care Measures,4
421301,Surgical Care Improvement Project Process of Care Measures,100
330249,Surgical Care Improvement Project Process of Care Measures,100
390130,Surgical Care Improvement Project Process of Care Measures,47
190064,Pneumonia Process of Care Measures,86
140184,Pneumonia Process of Care Measures,100
360039,Heart Failure Process of Care Measures,100
251300,Surgical Care Improvement Project Process of Care Measures,50
150100,Surgical Care Improvement Project Process of Care Measures,99
100117,Heart Attack or Chest Pain Process of Care Measures,93
161329,Pneumonia Process of Care Measures,96
50531,Heart Failure Process of Care Measures,100
440148,Surgical Care Improvement Project Process of Care Measures,94
500060,Surgical Care Improvement Project Process of Care Measures,N/A
500054,Pneumonia Process of Care Measures,99
330049,Heart Attack or Chest Pain Process of Care Measures,N/A
190122,Heart Attack or Chest Pain Process of Care Measures,N/A
100187,Heart Attack or Chest Pain Process of Care Measures,100
51306,Pneumonia Process of Care Measures,86
361308,Pneumonia Process of Care Measures,100
420054,Heart Attack or Chest Pain Process of Care Measures,93
370040,Heart Attack or Chest Pain Process of Care Measures,56
100266,Surgical Care Improvement Project Process of Care Measures,98
70035,Heart Failure Process of Care Measures,100
50660,Heart Failure Process of Care Measures,N/A
180013,Surgical Care Improvement Project Process of Care Measures,92
420062,Pneumonia Process of Care Measures,100
450010,Surgical Care Improvement Project Process of Care Measures,92
240211,Surgical Care Improvement Project Process of Care Measures,N/A
50135,Surgical Care Improvement Project Process of Care Measures,29
150170,Surgical Care Improvement Project Process of Care Measures,100
251320,Pneumonia Process of Care Measures,N/A
440058,Surgical Care Improvement Project Process of Care Measures,N/A
360274,Pneumonia Process of Care Measures,100
371302,Surgical Care Improvement Project Process of Care Measures,N/A
521334,Surgical Care Improvement Project Process of Care Measures,N/A
440063,Surgical Care Improvement Project Process of Care Measures,98
230029,Heart Attack or Chest Pain Process of Care Measures,100
241321,Pneumonia Process of Care Measures,100
60117,Surgical Care Improvement Project Process of Care Measures,100
50385,Heart Attack or Chest Pain Process of Care Measures,67
90011,Heart Attack or Chest Pain Process of Care Measures,99
340010,Pneumonia Process of Care Measures,81
230089,Pneumonia Process of Care Measures,98
10012,Heart Attack or Chest Pain Process of Care Measures,0
30037,Surgical Care Improvement Project Process of Care Measures,100
521344,Surgical Care Improvement Project Process of Care Measures,56
450446,Surgical Care Improvement Project Process of Care Measures,N/A
37012F,Heart Failure Process of Care Measures,100
160005,Heart Attack or Chest Pain Process of Care Measures,11
60016,Surgical Care Improvement Project Process of Care Measures,99
450087,Surgical Care Improvement Project Process of Care Measures,100
330086,Heart Attack or Chest Pain Process of Care Measures,N/A
520194,Heart Failure Process of Care Measures,N/A
150086,Heart Attack or Chest Pain Process of Care Measures,99
450730,Heart Attack or Chest Pain Process of Care Measures,N/A
490088,Heart Attack or Chest Pain Process of Care Measures,40
440053,Heart Attack or Chest Pain Process of Care Measures,298
460043,Heart Attack or Chest Pain Process of Care Measures,104
50641,Heart Attack or Chest Pain Process of Care Measures,N/A
110226,Pneumonia Process of Care Measures,93
370173,Heart Failure Process of Care Measures,92
250096,Heart Attack or Chest Pain Process of Care Measures,100
360086,Pneumonia Process of Care Measures,98
310038,Surgical Care Improvement Project Process of Care Measures,100
320074,Surgical Care Improvement Project Process of Care Measures,95
230167,Heart Attack or Chest Pain Process of Care Measures,98
330096,Surgical Care Improvement Project Process of Care Measures,98
111324,Surgical Care Improvement Project Process of Care Measures,N/A
321301,Pneumonia Process of Care Measures,100
381313,Surgical Care Improvement Project Process of Care Measures,100
250096,Surgical Care Improvement Project Process of Care Measures,99
280105,Pneumonia Process of Care Measures,100
100166,Pneumonia Process of Care Measures,99
50039,Heart Attack or Chest Pain Process of Care Measures,98
41330,Pneumonia Process of Care Measures,92
120010,Heart Failure Process of Care Measures,98
380027,Surgical Care Improvement Project Process of Care Measures,89
60054,Surgical Care Improvement Project Process of Care Measures,90
500064,Heart Attack or Chest Pain Process of Care Measures,N/A
270032,Heart Attack or Chest Pain Process of Care Measures,N/A
110025,Pneumonia Process of Care Measures,94
160005,Surgical Care Improvement Project Process of Care Measures,N/A
40018,Surgical Care Improvement Project Process of Care Measures,93
280061,Surgical Care Improvement Project Process of Care Measures,99
50717,Pneumonia Process of Care Measures,0
240019,Pneumonia Process of Care Measures,N/A
341313,Heart Attack or Chest Pain Process of Care Measures,N/A
10034,Pneumonia Process of Care Measures,92
150104,Pneumonia Process of Care Measures,96
05030F,Heart Failure Process of Care Measures,100
500058,Surgical Care Improvement Project Process of Care Measures,92
390127,Heart Attack or Chest Pain Process of Care Measures,99
50135,Pneumonia Process of Care Measures,70
360150,Surgical Care Improvement Project Process of Care Measures,93
440067,Heart Attack or Chest Pain Process of Care Measures,N/A
520096,Heart Attack or Chest Pain Process of Care Measures,91
60011,Surgical Care Improvement Project Process of Care Measures,98
330267,Heart Attack or Chest Pain Process of Care Measures,99
271334,Heart Attack or Chest Pain Process of Care Measures,N/A
101313,Pneumonia Process of Care Measures,100
290021,Heart Failure Process of Care Measures,95
390025,Heart Failure Process of Care Measures,N/A
60010,Surgical Care Improvement Project Process of Care Measures,98
340126,Heart Attack or Chest Pain Process of Care Measures,95
181319,Heart Attack or Chest Pain Process of Care Measures,N/A
30012,Surgical Care Improvement Project Process of Care Measures,98
190151,Surgical Care Improvement Project Process of Care Measures,50
241318,Heart Failure Process of Care Measures,100
281349,Heart Attack or Chest Pain Process of Care Measures,N/A
241360,Pneumonia Process of Care Measures,71
180024,Surgical Care Improvement Project Process of Care Measures,100
400106,Heart Attack or Chest Pain Process of Care Measures,82
100084,Pneumonia Process of Care Measures,98
271346,Surgical Care Improvement Project Process of Care Measures,N/A
390268,Heart Attack or Chest Pain Process of Care Measures,98
220020,Heart Failure Process of Care Measures,100
381308,Surgical Care Improvement Project Process of Care Measures,N/A
320070,Surgical Care Improvement Project Process of Care Measures,N/A
321305,Pneumonia Process of Care Measures,79
500119,Heart Failure Process of Care Measures,100
110143,Heart Failure Process of Care Measures,100
450347,Surgical Care Improvement Project Process of Care Measures,98
140053,Surgical Care Improvement Project Process of Care Measures,99
171369,Heart Attack or Chest Pain Process of Care Measures,N/A
501314,Pneumonia Process of Care Measures,N/A
140289,Heart Attack or Chest Pain Process of Care Measures,45
360080,Pneumonia Process of Care Measures,81
30062,Heart Failure Process of Care Measures,82
180044,Surgical Care Improvement Project Process of Care Measures,100
450475,Surgical Care Improvement Project Process of Care Measures,84
350011,Heart Attack or Chest Pain Process of Care Measures,85
51310,Heart Attack or Chest Pain Process of Care Measures,N/A
251308,Heart Failure Process of Care Measures,67
100023,Heart Attack or Chest Pain Process of Care Measures,100
351321,Heart Failure Process of Care Measures,100
150153,Heart Attack or Chest Pain Process of Care Measures,100
491307,Pneumonia Process of Care Measures,94
17006F,Pneumonia Process of Care Measures,92
321300,Pneumonia Process of Care Measures,77
440002,Heart Failure Process of Care Measures,62
230096,Pneumonia Process of Care Measures,95
361319,Heart Attack or Chest Pain Process of Care Measures,N/A
441315,Surgical Care Improvement Project Process of Care Measures,N/A
140182,Pneumonia Process of Care Measures,98
140181,Heart Attack or Chest Pain Process of Care Measures,94
400125,Pneumonia Process of Care Measures,N/A
110187,Pneumonia Process of Care Measures,96
390258,Pneumonia Process of Care Measures,100
210057,Surgical Care Improvement Project Process of Care Measures,100
440060,Heart Attack or Chest Pain Process of Care Measures,N/A
360351,Heart Attack or Chest Pain Process of Care Measures,N/A
510023,Heart Attack or Chest Pain Process of Care Measures,100
261324,Heart Attack or Chest Pain Process of Care Measures,75
170040,Pneumonia Process of Care Measures,93
230275,Surgical Care Improvement Project Process of Care Measures,N/A
110006,Heart Attack or Chest Pain Process of Care Measures,N/A
40137,Surgical Care Improvement Project Process of Care Measures,91
50512,Surgical Care Improvement Project Process of Care Measures,99
171325,Surgical Care Improvement Project Process of Care Measures,N/A
151332,Surgical Care Improvement Project Process of Care Measures,55
521308,Surgical Care Improvement Project Process of Care Measures,100
50280,Surgical Care Improvement Project Process of Care Measures,98
340129,Pneumonia Process of Care Measures,100
230132,Pneumonia Process of Care Measures,90
361323,Heart Failure Process of Care Measures,50
440011,Surgical Care Improvement Project Process of Care Measures,N/A
50351,Surgical Care Improvement Project Process of Care Measures,98
390162,Heart Attack or Chest Pain Process of Care Measures,N/A
280003,Heart Attack or Chest Pain Process of Care Measures,97
390079,Surgical Care Improvement Project Process of Care Measures,99
431316,Pneumonia Process of Care Measures,100
40047,Heart Attack or Chest Pain Process of Care Measures,100
70018,Heart Attack or Chest Pain Process of Care Measures,100
450746,Heart Failure Process of Care Measures,33
100030,Surgical Care Improvement Project Process of Care Measures,N/A
490130,Heart Attack or Chest Pain Process of Care Measures,N/A
490060,Heart Attack or Chest Pain Process of Care Measures,100
500039,Heart Attack or Chest Pain Process of Care Measures,99
151328,Heart Attack or Chest Pain Process of Care Measures,89
230059,Surgical Care Improvement Project Process of Care Measures,98
380050,Heart Attack or Chest Pain Process of Care Measures,N/A
01019F,Heart Attack or Chest Pain Process of Care Measures,100
110124,Surgical Care Improvement Project Process of Care Measures,N/A
450469,Surgical Care Improvement Project Process of Care Measures,99
330198,Surgical Care Improvement Project Process of Care Measures,N/A
181318,Surgical Care Improvement Project Process of Care Measures,N/A
511310,Surgical Care Improvement Project Process of Care Measures,N/A
340010,Heart Failure Process of Care Measures,96
45063F,Surgical Care Improvement Project Process of Care Measures,N/A
471301,Surgical Care Improvement Project Process of Care Measures,91
241309,Surgical Care Improvement Project Process of Care Measures,N/A
271322,Heart Attack or Chest Pain Process of Care Measures,N/A
180025,Pneumonia Process of Care Measures,95
260017,Pneumonia Process of Care Measures,96
190167,Surgical Care Improvement Project Process of Care Measures,97
150017,Surgical Care Improvement Project Process of Care Measures,99
500036,Surgical Care Improvement Project Process of Care Measures,94
390081,Heart Attack or Chest Pain Process of Care Measures,N/A
30069,Heart Attack or Chest Pain Process of Care Measures,84
440186,Heart Attack or Chest Pain Process of Care Measures,165
60112,Heart Failure Process of Care Measures,100
21302,Surgical Care Improvement Project Process of Care Measures,N/A
290020,Surgical Care Improvement Project Process of Care Measures,N/A
151301,Heart Attack or Chest Pain Process of Care Measures,N/A
150164,Heart Attack or Chest Pain Process of Care Measures,50
531304,Surgical Care Improvement Project Process of Care Measures,100
140150,Surgical Care Improvement Project Process of Care Measures,85
10150,Pneumonia Process of Care Measures,100
450431,Heart Attack or Chest Pain Process of Care Measures,6
100086,Surgical Care Improvement Project Process of Care Measures,98
370032,Heart Attack or Chest Pain Process of Care Measures,87
171378,Heart Attack or Chest Pain Process of Care Measures,N/A
400113,Pneumonia Process of Care Measures,N/A
450884,Pneumonia Process of Care Measures,100
501316,Surgical Care Improvement Project Process of Care Measures,N/A
50236,Surgical Care Improvement Project Process of Care Measures,N/A
70031,Pneumonia Process of Care Measures,98
340091,Surgical Care Improvement Project Process of Care Measures,96
340099,Surgical Care Improvement Project Process of Care Measures,97
11300,Heart Failure Process of Care Measures,50
330127,Heart Failure Process of Care Measures,98
171366,Pneumonia Process of Care Measures,64
50007,Heart Failure Process of Care Measures,100
220090,Heart Attack or Chest Pain Process of Care Measures,N/A
371317,Heart Failure Process of Care Measures,79
390056,Surgical Care Improvement Project Process of Care Measures,100
361325,Surgical Care Improvement Project Process of Care Measures,72
50179,Surgical Care Improvement Project Process of Care Measures,98
180124,Pneumonia Process of Care Measures,97
50690,Pneumonia Process of Care Measures,92
201314,Heart Attack or Chest Pain Process of Care Measures,67
51328,Heart Attack or Chest Pain Process of Care Measures,100
450083,Heart Attack or Chest Pain Process of Care Measures,N/A
100176,Heart Attack or Chest Pain Process of Care Measures,N/A
131321,Heart Failure Process of Care Measures,N/A
370051,Surgical Care Improvement Project Process of Care Measures,N/A
160005,Surgical Care Improvement Project Process of Care Measures,99
330386,Surgical Care Improvement Project Process of Care Measures,98
50179,Pneumonia Process of Care Measures,95
161344,Heart Attack or Chest Pain Process of Care Measures,N/A
51329,Heart Failure Process of Care Measures,100
441307,Heart Failure Process of Care Measures,N/A
44016F,Pneumonia Process of Care Measures,100
220019,Heart Attack or Chest Pain Process of Care Measures,96
351302,Heart Attack or Chest Pain Process of Care Measures,N/A
500049,Heart Attack or Chest Pain Process of Care Measures,6
341326,Pneumonia Process of Care Measures,88
490134,Surgical Care Improvement Project Process of Care Measures,N/A
150006,Heart Attack or Chest Pain Process of Care Measures,0
431310,Heart Attack or Chest Pain Process of Care Measures,N/A
390160,Heart Attack or Chest Pain Process of Care Measures,100
101312,Pneumonia Process of Care Measures,100
50235,Heart Attack or Chest Pain Process of Care Measures,N/A
320059,Surgical Care Improvement Project Process of Care Measures,N/A
340143,Surgical Care Improvement Project Process of Care Measures,95
220083,Heart Failure Process of Care Measures,78
60028,Heart Attack or Chest Pain Process of Care Measures,100
310058,Heart Attack or Chest Pain Process of Care Measures,N/A
34017F,Surgical Care Improvement Project Process of Care Measures,88
390057,Pneumonia Process of Care Measures,99
140137,Heart Attack or Chest Pain Process of Care Measures,0
250023,Pneumonia Process of Care Measures,100
340147,Pneumonia Process of Care Measures,95
241346,Heart Attack or Chest Pain Process of Care Measures,N/A
131320,Surgical Care Improvement Project Process of Care Measures,N/A
240088,Heart Attack or Chest Pain Process of Care Measures,N/A
141349,Pneumonia Process of Care Measures,N/A
370180,Surgical Care Improvement Project Process of Care Measures,100
440064,Pneumonia Process of Care Measures,100
110101,Heart Failure Process of Care Measures,94
40055,Heart Attack or Chest Pain Process of Care Measures,99
150112,Pneumonia Process of Care Measures,95
360052,Surgical Care Improvement Project Process of Care Measures,89
281336,Pneumonia Process of Care Measures,96
160064,Pneumonia Process of Care Measures,92
10079,Surgical Care Improvement Project Process of Care Measures,64
370227,Heart Attack or Chest Pain Process of Care Measures,53
140275,Heart Attack or Chest Pain Process of Care Measures,100
450054,Heart Attack or Chest Pain Process of Care Measures,N/A
450539,Surgical Care Improvement Project Process of Care Measures,100
45066F,Surgical Care Improvement Project Process of Care Measures,98
501308,Heart Attack or Chest Pain Process of Care Measures,N/A
181324,Heart Attack or Chest Pain Process of Care Measures,N/A
240066,Pneumonia Process of Care Measures,89
400048,Surgical Care Improvement Project Process of Care Measures,84
450880,Heart Attack or Chest Pain Process of Care Measures,N/A
330239,Heart Attack or Chest Pain Process of Care Measures,12
50007,Heart Attack or Chest Pain Process of Care Measures,N/A
390108,Surgical Care Improvement Project Process of Care Measures,87
100048,Heart Attack or Chest Pain Process of Care Measures,N/A
511308,Surgical Care Improvement Project Process of Care Measures,N/A
330115,Surgical Care Improvement Project Process of Care Measures,99
431316,Heart Failure Process of Care Measures,25
350006,Surgical Care Improvement Project Process of Care Measures,96
390076,Heart Attack or Chest Pain Process of Care Measures,98
50008,Heart Attack or Chest Pain Process of Care Measures,100
60107,Heart Attack or Chest Pain Process of Care Measures,N/A
520102,Surgical Care Improvement Project Process of Care Measures,N/A
220035,Heart Failure Process of Care Measures,100
380089,Surgical Care Improvement Project Process of Care Measures,96
360059,Heart Attack or Chest Pain Process of Care Measures,93
310039,Surgical Care Improvement Project Process of Care Measures,N/A
50016,Surgical Care Improvement Project Process of Care Measures,94
440039,Surgical Care Improvement Project Process of Care Measures,91
161381,Pneumonia Process of Care Measures,100
60030,Surgical Care Improvement Project Process of Care Measures,94
450698,Pneumonia Process of Care Measures,71
490075,Heart Attack or Chest Pain Process of Care Measures,N/A
450518,Heart Attack or Chest Pain Process of Care Measures,95
110150,Pneumonia Process of Care Measures,92
161330,Pneumonia Process of Care Measures,100
360347,Pneumonia Process of Care Measures,20
341310,Surgical Care Improvement Project Process of Care Measures,N/A
100223,Heart Attack or Chest Pain Process of Care Measures,100
50764,Heart Failure Process of Care Measures,100
360052,Heart Failure Process of Care Measures,91
450128,Heart Failure Process of Care Measures,85
440050,Heart Failure Process of Care Measures,100
450347,Heart Failure Process of Care Measures,100
381325,Pneumonia Process of Care Measures,87
260137,Surgical Care Improvement Project Process of Care Measures,82
10158,Heart Attack or Chest Pain Process of Care Measures,100
510050,Heart Failure Process of Care Measures,99
250102,Surgical Care Improvement Project Process of Care Measures,89
191306,Heart Attack or Chest Pain Process of Care Measures,100
50394,Heart Attack or Chest Pain Process of Care Measures,N/A
61324,Pneumonia Process of Care Measures,62
30111,Surgical Care Improvement Project Process of Care Measures,88
390108,Surgical Care Improvement Project Process of Care Measures,98
230270,Heart Attack or Chest Pain Process of Care Measures,100
151327,Surgical Care Improvement Project Process of Care Measures,100
50547,Heart Failure Process of Care Measures,N/A
290006,Heart Attack or Chest Pain Process of Care Measures,N/A
51320,Heart Failure Process of Care Measures,100
150038,Surgical Care Improvement Project Process of Care Measures,100
420027,Heart Attack or Chest Pain Process of Care Measures,100
330159,Heart Attack or Chest Pain Process of Care Measures,N/A
140130,Heart Attack or Chest Pain Process of Care Measures,N/A
241369,Heart Failure Process of Care Measures,78
361321,Surgical Care Improvement Project Process of Care Measures,N/A
50257,Pneumonia Process of Care Measures,N/A
511315,Surgical Care Improvement Project Process of Care Measures,85
110092,Heart Attack or Chest Pain Process of Care Measures,50
110201,Heart Attack or Chest Pain Process of Care Measures,N/A
340050,Heart Attack or Chest Pain Process of Care Measures,60
21306,Surgical Care Improvement Project Process of Care Measures,N/A
490033,Heart Attack or Chest Pain Process of Care Measures,N/A
110083,Surgical Care Improvement Project Process of Care Measures,93
240043,Heart Attack or Chest Pain Process of Care Measures,80
430081,Heart Attack or Chest Pain Process of Care Measures,N/A
140151,Pneumonia Process of Care Measures,80
330211,Heart Attack or Chest Pain Process of Care Measures,33
140118,Heart Failure Process of Care Measures,99
50060,Surgical Care Improvement Project Process of Care Measures,96
100090,Heart Attack or Chest Pain Process of Care Measures,74
200052,Surgical Care Improvement Project Process of Care Measures,87
360270,Surgical Care Improvement Project Process of Care Measures,99
10057F,Pneumonia Process of Care Measures,94
520088,Surgical Care Improvement Project Process of Care Measures,93
50168,Pneumonia Process of Care Measures,96
05128F,Pneumonia Process of Care Measures,85
171367,Heart Failure Process of Care Measures,N/A
440175,Surgical Care Improvement Project Process of Care Measures,100
31301,Heart Attack or Chest Pain Process of Care Measures,N/A
50696,Heart Attack or Chest Pain Process of Care Measures,N/A
500039,Pneumonia Process of Care Measures,99
340071,Heart Attack or Chest Pain Process of Care Measures,N/A
450270,Heart Attack or Chest Pain Process of Care Measures,14
450669,Surgical Care Improvement Project Process of Care Measures,93
261329,Pneumonia Process of Care Measures,92
171333,Pneumonia Process of Care Measures,56
190263,Heart Attack or Chest Pain Process of Care Measures,N/A
440173,Heart Attack or Chest Pain Process of Care Measures,N/A
180027,Heart Attack or Chest Pain Process of Care Measures,N/A
161330,Surgical Care Improvement Project Process of Care Measures,100
200002,Heart Attack or Chest Pain Process of Care Measures,96
251322,Pneumonia Process of Care Measures,71
241350,Surgical Care Improvement Project Process of Care Measures,N/A
420002,Surgical Care Improvement Project Process of Care Measures,95
330125,Heart Attack or Chest Pain Process of Care Measures,N/A
521322,Surgical Care Improvement Project Process of Care Measures,100
450795,Surgical Care Improvement Project Process of Care Measures,69
161304,Heart Attack or Chest Pain Process of Care Measures,100
10044,Heart Attack or Chest Pain Process of Care Measures,100
250077,Pneumonia Process of Care Measures,93
50016,Pneumonia Process of Care Measures,90
361300,Surgical Care Improvement Project Process of Care Measures,N/A
490012,Heart Failure Process of Care Measures,38
180027,Heart Failure Process of Care Measures,67
480002,Heart Attack or Chest Pain Process of Care Measures,100
260025,Surgical Care Improvement Project Process of Care Measures,97
420048,Heart Attack or Chest Pain Process of Care Measures,N/A
450219,Pneumonia Process of Care Measures,97
05030F,Pneumonia Process of Care Measures,100
61316,Heart Failure Process of Care Measures,75
670061,Surgical Care Improvement Project Process of Care Measures,92
140289,Surgical Care Improvement Project Process of Care Measures,92
181330,Heart Attack or Chest Pain Process of Care Measures,140
360113,Heart Attack or Chest Pain Process of Care Measures,N/A
440175,Pneumonia Process of Care Measures,95
450082,Heart Attack or Chest Pain Process of Care Measures,75
261320,Pneumonia Process of Care Measures,100
200020,Surgical Care Improvement Project Process of Care Measures,99
440228,Surgical Care Improvement Project Process of Care Measures,90
50547,Heart Attack or Chest Pain Process of Care Measures,N/A
451320,Heart Failure Process of Care Measures,54
110028,Heart Attack or Chest Pain Process of Care Measures,100
400012,Heart Failure Process of Care Measures,N/A
501333,Pneumonia Process of Care Measures,100
150158,Surgical Care Improvement Project Process of Care Measures,79
50682,Heart Attack or Chest Pain Process of Care Measures,N/A
390032,Heart Attack or Chest Pain Process of Care Measures,55
450163,Pneumonia Process of Care Measures,87
28006F,Pneumonia Process of Care Measures,100
230132,Surgical Care Improvement Project Process of Care Measures,91
340020,Heart Attack or Chest Pain Process of Care Measures,N/A
340040,Heart Attack or Chest Pain Process of Care Measures,100
450028,Pneumonia Process of Care Measures,86
230193,Pneumonia Process of Care Measures,92
250004,Heart Attack or Chest Pain Process of Care Measures,99
10007,Surgical Care Improvement Project Process of Care Measures,83
190001,Heart Attack or Chest Pain Process of Care Measures,100
450419,Pneumonia Process of Care Measures,99
340041,Surgical Care Improvement Project Process of Care Measures,94
450080,Heart Failure Process of Care Measures,95
450591,Heart Failure Process of Care Measures,100
150058,Heart Attack or Chest Pain Process of Care Measures,N/A
110146,Surgical Care Improvement Project Process of Care Measures,97
351327,Pneumonia Process of Care Measures,50
400117,Heart Attack or Chest Pain Process of Care Measures,61
140250,Surgical Care Improvement Project Process of Care Measures,99
390226,Heart Attack or Chest Pain Process of Care Measures,N/A
461304,Surgical Care Improvement Project Process of Care Measures,N/A
471301,Pneumonia Process of Care Measures,92
241349,Pneumonia Process of Care Measures,100
70031,Heart Attack or Chest Pain Process of Care Measures,N/A
380071,Surgical Care Improvement Project Process of Care Measures,99
180040,Heart Attack or Chest Pain Process of Care Measures,0
340023,Surgical Care Improvement Project Process of Care Measures,100
440115,Pneumonia Process of Care Measures,93
10099,Surgical Care Improvement Project Process of Care Measures,100
130013,Heart Failure Process of Care Measures,94
241304,Pneumonia Process of Care Measures,100
371332,Heart Failure Process of Care Measures,100
50231,Heart Attack or Chest Pain Process of Care Measures,97
110071,Surgical Care Improvement Project Process of Care Measures,25
501332,Pneumonia Process of Care Measures,62
240010,Surgical Care Improvement Project Process of Care Measures,98
450497,Pneumonia Process of Care Measures,98
450219,Pneumonia Process of Care Measures,98
230117,Pneumonia Process of Care Measures,98
180025,Surgical Care Improvement Project Process of Care Measures,97
110004,Pneumonia Process of Care Measures,98
250093,Pneumonia Process of Care Measures,100
230101,Surgical Care Improvement Project Process of Care Measures,100
100019,Heart Attack or Chest Pain Process of Care Measures,N/A
670018,Pneumonia Process of Care Measures,0
10087,Heart Attack or Chest Pain Process of Care Measures,100
330065,Surgical Care Improvement Project Process of Care Measures,93
670050,Heart Attack or Chest Pain Process of Care Measures,N/A
210060,Heart Attack or Chest Pain Process of Care Measures,33
50091,Heart Attack or Chest Pain Process of Care Measures,100
140189,Pneumonia Process of Care Measures,100
151327,Heart Attack or Chest Pain Process of Care Measures,4
461308,Surgical Care Improvement Project Process of Care Measures,N/A
260061,Surgical Care Improvement Project Process of Care Measures,89
220046,Surgical Care Improvement Project Process of Care Measures,98
360051,Surgical Care Improvement Project Process of Care Measures,96
70019,Heart Failure Process of Care Measures,97
50179,Pneumonia Process of Care Measures,100
50189,Pneumonia Process of Care Measures,76
530012,Surgical Care Improvement Project Process of Care Measures,89
451316,Heart Failure Process of Care Measures,N/A
281348,Heart Attack or Chest Pain Process of Care Measures,100
450489,Pneumonia Process of Care Measures,80
260207,Heart Attack or Chest Pain Process of Care Measures,0
210045,Pneumonia Process of Care Measures,94
100084,Surgical Care Improvement Project Process of Care Measures,100
210038,Heart Attack or Chest Pain Process of Care Measures,60
10019,Pneumonia Process of Care Measures,100
440053,Surgical Care Improvement Project Process of Care Measures,88
100006,Surgical Care Improvement Project Process of Care Measures,99
281352,Pneumonia Process of Care Measures,88
31312,Heart Attack or Chest Pain Process of Care Measures,N/A
390228,Pneumonia Process of Care Measures,91
310081,Pneumonia Process of Care Measures,95
150033,Heart Attack or Chest Pain Process of Care Measures,N/A
50056,Heart Attack or Chest Pain Process of Care Measures,99
310017,Heart Attack or Chest Pain Process of Care Measures,N/A
231335,Surgical Care Improvement Project Process of Care Measures,97
521316,Heart Attack or Chest Pain Process of Care Measures,N/A
450052,Surgical Care Improvement Project Process of Care Measures,N/A
100035,Heart Failure Process of Care Measures,100
390203,Heart Attack or Chest Pain Process of Care Measures,N/A
11303,Heart Attack or Chest Pain Process of Care Measures,0
390115,Surgical Care Improvement Project Process of Care Measures,96
390062,Surgical Care Improvement Project Process of Care Measures,100
450462,Heart Attack or Chest Pain Process of Care Measures,N/A
30117,Surgical Care Improvement Project Process of Care Measures,98
271323,Surgical Care Improvement Project Process of Care Measures,N/A
220002,Pneumonia Process of Care Measures,97
201302,Heart Attack or Chest Pain Process of Care Measures,100
210060,Surgical Care Improvement Project Process of Care Measures,92
201304,Pneumonia Process of Care Measures,100
190116,Heart Attack or Chest Pain Process of Care Measures,0
360172,Heart Attack or Chest Pain Process of Care Measures,100
450143,Surgical Care Improvement Project Process of Care Measures,94
161360,Surgical Care Improvement Project Process of Care Measures,67
100128,Heart Attack or Chest Pain Process of Care Measures,84
281300,Heart Failure Process of Care Measures,100
50575,Pneumonia Process of Care Measures,89
120001,Heart Failure Process of Care Measures,100
520027,Surgical Care Improvement Project Process of Care Measures,89
241326,Surgical Care Improvement Project Process of Care Measures,N/A
140231,Heart Failure Process of Care Measures,95
450847,Surgical Care Improvement Project Process of Care Measures,98
230020,Pneumonia Process of Care Measures,89
200008,Pneumonia Process of Care Measures,100
520057,Surgical Care Improvement Project Process of Care Measures,N/A
330403,Surgical Care Improvement Project Process of Care Measures,N/A
370016,Heart Attack or Chest Pain Process of Care Measures,100
50024,Heart Attack or Chest Pain Process of Care Measures,N/A
370112,Heart Attack or Chest Pain Process of Care Measures,N/A
440059,Heart Failure Process of Care Measures,86
390313,Pneumonia Process of Care Measures,93
181305,Pneumonia Process of Care Measures,100
330067,Heart Attack or Chest Pain Process of Care Measures,N/A
531315,Surgical Care Improvement Project Process of Care Measures,N/A
330024,Surgical Care Improvement Project Process of Care Measures,97
371319,Heart Attack or Chest Pain Process of Care Measures,N/A
410001,Surgical Care Improvement Project Process of Care Measures,98
240036,Surgical Care Improvement Project Process of Care Measures,98
220075,Heart Attack or Chest Pain Process of Care Measures,N/A
50153,Heart Attack or Chest Pain Process of Care Measures,N/A
150023,Heart Attack or Chest Pain Process of Care Measures,87
300005,Heart Failure Process of Care Measures,97
270032,Surgical Care Improvement Project Process of Care Measures,96
431321,Pneumonia Process of Care Measures,83
531301,Surgical Care Improvement Project Process of Care Measures,N/A
220077,Heart Failure Process of Care Measures,97
490092,Heart Attack or Chest Pain Process of Care Measures,155
510058,Heart Attack or Chest Pain Process of Care Measures,69
201303,Heart Attack or Chest Pain Process of Care Measures,N/A
450124,Heart Attack or Chest Pain Process of Care Measures,100
